location,start_date,end_date,description,USA for sure,timestamp
Key West,8/15/2013,8/18/2013,Tropical Heat,1,20130818182510
New York,8/16/2013,8/18/2013,Ascension Fire Island,1,20130818182510
Provincetown,8/18/2013,8/24/2013,Carnival,1,20130818182510
Black Rock Desert,8/26/2013,9/2/2013,Burning man,1,20130818182510
New Orleans,8/28/2013,9/2/2013,Southern Decadence,1,20130818182510
Austin,8/30/2013,9/2/2013,Splash Days ,1,20130818182510
San Francisco,9/1/2013,9/1/2013,Oakland Gay Pride,1,20130818182510
Las Vegas,9/3/2013,9/9/2013,Gay Days Las Vegas,1,20130818182510
Las Vegas,9/6/2013,9/7/2013,Las Vegas Pride,1,20130818182510
Austin,9/7/2013,9/7/2013,Austin Gay Pride,1,20130818182510
Dallas,9/15/2013,9/15/2013,Dallas Gay Pride,1,20130818182510
Orlando,9/26/2013,9/29/2013,Bear Bash,1,20130818182510
San Francisco,9/29/2013,9/29/2013,Folsom Street Fair,1,20130818182510
Orlando,10/1/2013,10/6/2013,Orlando Pride,1,20130818182510
Los Angeles,10/4/2013,10/6/2013,Gay Days Anaheim,1,20130818182510
Atlanta,10/12/2013,10/13/2013,Atlanta Pride,1,20130818182510
Oceanside,10/12/2013,10/12/2013,Pride @ the beach,1,20130818182510
Philadelphia,10/13/2013,10/13/2013,Outfest,1,20130818182510
New York,10/19/2013,10/26/2013,Cruise4Bears NYC to Caribbean Cruise,1,20131018194707
New Orleans,10/24/2013,10/27/2013,Halloween,1,20131018194707
Palm Springs,11/2/2013,11/3/2013,Greater Palm Springs Pride,1,20131103171700
Los Angeles,11/10/2013,11/17/2013,Atlantis LA Mexico gay cruise,1,20131103171700
Miami,11/27/2013,12/2/2013,White Party Week,1,20131103171700
Aspen,1/12/2014,1/19/2014,Gay and Lesbian Ski Week,1,20131227131208
Washington D.C,1/14/2014,1/17/2014,Mid Atlantic Leather Weekend,1,20131227131208
Las Vegas,1/19/2014,1/19/2014,Hustlaball Las Vegas,1,20131227131208
Fort Lauderdale,2/1/2014,2/8/2014,Olivia Lesbian Cruise,1,20140217192042
Fort Lauderdale,2/2/2014,2/9/2014,Atlantis Caribbean all gay cruise,1,20140208090951
Miami,2/15/2014,2/22/2014,RSVP Caribbean Cruise,1,20140217192042
New Orleans,2/28/2014,3/4/2014,Gay Mardi Gras,1,20140217192042
Fort Lauderdale,3/1/2014,3/2/2014,Pridefest South Florida,1,20140217192042
Miami,3/5/2014,3/10/2014,Winter Party Miami,1,20140217192042
Mammoth Lakes,3/12/2014,3/16/2014,Elevation Mammoth gay ski week,1,20140217192042
New York,3/22/2014,3/22/2014,The Black Party,1,20140217192042
Los Angeles,3/23/2014,3/30/2014,LA Fetish Pride,1,20140217192042
Phoenix,4/5/2014,4/6/2014,Phoenix gay pride,1,20140217192042
Miami,4/11/2014,4/13/2014,Miami Beach gay pride,1,20140217192042
New Orleans,4/20/2014,4/20/2014,Gay Easter Parade,1,20140217192042
Cleveland,4/24/2014,4/27/2014,Claw Leather Awareness,1,20140217192042
Palm Springs,4/25/2014,4/28/2014,White Party Palm Springs,1,20140217192042
Palm Springs,5/2/2014,5/4/2014,Blatino Oasis,1,20140217192042
Washington D.C,5/27/2014,6/8/2014,Capital pride,1,20131203134632
Dallas,5/9/2014,5/12/2014,Purple Party,1,20140217192042
Los Angeles,5/17/2014,5/18/2014,Long Beach Pride,1,20140217192042
New York,5/18/2014,5/18/2014,NY AIDS Walk,1,20140217192042
Miami,5/22/2014,5/27/2014,Sizzle,1,20140217192042
Pensacola,5/22/2014,5/26/2014,Memorial Weekend,1,20140217192042
Chicago,5/23/2014,5/26/2014,International Mr Leather,1,20140217192042
Washington D.C,5/23/2014,5/26/2014,DC Black Pride,1,20140217192042
Orlando,6/3/2014,6/10/2014,Disney Gay Days,1,20140217192042
Orlando,6/5/2014,6/8/2014,One Mighty Weekend,1,20140217192042
Boston,6/6/2014,6/16/2014,Boston Pride,1,20140217192042
Dallas,6/6/2014,6/8/2014,Razzle Dazzle,1,20140217192042
Los Angeles,6/6/2014,6/8/2014,Los Angeles Pride,1,20140217192042
Detroit,6/7/2014,6/8/2014,Motor City Pride,1,20140217192042
Honolulu,6/7/2014,6/7/2014,Honolulu gay pride,1,20140217192042
Philadelphia,6/8/2014,6/8/2014,Philly Gay Pride,1,20140217192042
Key West,6/11/2014,6/15/2014,Key West PrideFest,1,20140217192042
Portland,6/14/2014,6/15/2014,Portland Pride,1,20140217192042
New Orleans,6/20/2014,6/22/2014,Gay Pride New Orleans,1,20140621041238
Chicago,6/21/2014,6/22/2014,Chicago Pride,1,20140621041238
Denver,6/21/2014,6/22/2014,Gay Pride Fest Denver,1,20140621041238
Houston,6/21/2014,6/30/2014,Gay Pride Houston,1,20140625131713
Providence,6/21/2014,6/21/2014,Rhode Island Pride,1,20140621041238
New York,6/22/2014,6/22/2014,Folsom Street East,1,20140621041238
New York,6/22/2014,6/29/2014,Harlem Pride,1,20140625131713
New York,6/27/2014,6/29/2014,NYC Gay Pride,1,20140625131713
Cleveland,6/28/2014,6/28/2014,Cleveland Pride,1,20140625131713
Minneapolis,6/28/2014,6/29/2014,Twin Cities Pride,1,20140625131713
Provincetown,6/28/2014,7/5/2014,Independence Weekend,1,20140625131713
San Francisco,6/28/2014,6/29/2014,San Francisco Pride,1,20140625131713
Seattle,6/28/2014,6/29/2014,Seattle Pride,1,20140625131713
New York,6/29/2014,6/29/2014,Dance at the Pier,1,20140625131713
Los Angeles,7/4/2014,7/6/2014,Black Pride at the Beach,1,20140625131713
Provincetown,7/12/2014,7/20/2014,Bear Week,1,20140625131713
San Diego,7/16/2014,7/20/2014,San Diego Pride,1,20140625131713
New York,7/18/2014,7/20/2014,Sand Blast Weekend,1,20140625131713
San Francisco,7/27/2014,7/27/2014,Up Your Alley,1,20140625131713
Chicago,8/9/2014,8/10/2014,Northalsted Market Days,1,20140625131713
